image,alpha,model,attack_name,nc,ber,psnr_after_attack,ssim_after_attack,runtime_s,out_h,out_w
kodim09,0.3,edsr,edsr_x4,1.0,0.0,41.031342069662735,0.9724820673635256,43.830008029937744,512,512
kodim10,0.05,edsr,edsr_x4,0.998046875,0.0009765625,41.457698008043316,0.9773332404878058,38.90594220161438,512,512
kodim10,0.1,edsr,edsr_x4,0.998046875,0.0009765625,41.33615953650269,0.9769342799149094,40.03553509712219,512,512
kodim10,0.2,edsr,edsr_x4,0.998046875,0.0009765625,41.110307787069644,0.9760991309689647,42.53044295310974,512,512
kodim10,0.3,edsr,edsr_x4,1.0,0.0,40.87625209164442,0.9751865933608256,43.2631151676178,512,512
kodim11,0.05,edsr,edsr_x4,1.0,0.0,41.05342619498094,0.9813899397684951,43.684345722198486,512,512
kodim11,0.1,edsr,edsr_x4,1.0,0.0,40.91276414429748,0.9809281684039503,41.67063808441162,512,512
kodim11,0.2,edsr,edsr_x4,1.0,0.0,40.642953652180694,0.9800367180155475,42.191543102264404,512,512
kodim11,0.3,edsr,edsr_x4,1.0,0.0,40.39357146633027,0.9792025092233253,40.96538233757019,512,512
kodim12,0.05,edsr,edsr_x4,1.0,0.0,42.080574101615156,0.9763486756887817,40.926867961883545,512,512
kodim12,0.1,edsr,edsr_x4,1.0,0.0,41.98026059995941,0.9759219629021088,42.01533389091492,512,512
kodim12,0.2,edsr,edsr_x4,1.0,0.0,41.78541070674033,0.9751091136641213,39.72728490829468,512,512
kodim12,0.3,edsr,edsr_x4,1.0,0.0,41.60069152350119,0.9743346261798892,37.20979380607605,512,512
kodim13,0.05,edsr,edsr_x4,0.998046875,0.0009765625,38.92576759682823,0.9888903107498189,38.33650302886963,512,512
kodim13,0.1,edsr,edsr_x4,1.0,0.0,38.76067879648372,0.9885017363597178,39.44967007637024,512,512
kodim13,0.2,edsr,edsr_x4,1.0,0.0,38.42814901255741,0.9876756504732009,38.546040058135986,512,512
kodim13,0.3,edsr,edsr_x4,1.0,0.0,38.10274486918702,0.9868566049243231,39.9294548034668,512,512
kodim14,0.05,edsr,edsr_x4,1.0,0.0,39.72265514856451,0.9831860552740257,38.94775199890137,512,512
kodim14,0.1,edsr,edsr_x4,1.0,0.0,39.57355413174024,0.9826575721628918,39.02145576477051,512,512
kodim14,0.2,edsr,edsr_x4,1.0,0.0,39.28457212866237,0.9816464527394372,39.95901679992676,512,512
kodim14,0.3,edsr,edsr_x4,1.0,0.0,38.976574679823706,0.9804842887086368,40.61708307266235,512,512
kodim15,0.05,edsr,edsr_x4,0.9921875,0.00390625,41.52081855843349,0.9746386266352173,42.48277997970581,512,512
kodim15,0.1,edsr,edsr_x4,0.9921875,0.00390625,41.424799201280024,0.9742686321812452,40.89540100097656,512,512
kodim15,0.2,edsr,edsr_x4,0.998046875,0.0009765625,41.20465459755083,0.9733524674937022,47.010437965393066,512,512
kodim15,0.3,edsr,edsr_x4,1.0,0.0,40.99455832510775,0.9725406961062251,46.97291803359985,512,512
kodim16,0.05,edsr,edsr_x4,1.0,0.0,42.13381502055786,0.9799963713936636,42.923521995544434,512,512
kodim16,0.1,edsr,edsr_x4,1.0,0.0,42.034203180974174,0.979655402279818,44.626704931259155,512,512
kodim16,0.2,edsr,edsr_x4,1.0,0.0,41.84897170462158,0.978936437947128,42.10611629486084,512,512
kodim16,0.3,edsr,edsr_x4,1.0,0.0,41.64242266803082,0.9781408883097455,41.85748887062073,512,512
kodim17,0.05,edsr,edsr_x4,1.0,0.0,41.27904113512713,0.9796493748655207,41.085283041000366,512,512
kodim17,0.1,edsr,edsr_x4,1.0,0.0,41.162120452775056,0.9792150399854713,43.282166957855225,512,512
kodim17,0.2,edsr,edsr_x4,1.0,0.0,40.90709975726998,0.9782770175209555,42.946150064468384,512,512
kodim17,0.3,edsr,edsr_x4,1.0,0.0,40.676605521782335,0.9773748700355517,43.20668601989746,512,512
kodim18,0.05,edsr,edsr_x4,0.998046875,0.0009765625,39.98792843502509,0.9819937902708676,44.03316402435303,512,512
kodim18,0.1,edsr,edsr_x4,0.998046875,0.0009765625,39.83496225496671,0.9814768577189114,43.11945581436157,512,512
kodim18,0.2,edsr,edsr_x4,0.998046875,0.0009765625,39.55398057740025,0.9804743382034483,42.4572811126709,512,512
kodim18,0.3,edsr,edsr_x4,1.0,0.0,39.23357525891263,0.9793675739073039,43.395646810531616,512,512
kodim19,0.05,edsr,edsr_x4,1.0,0.0,40.71120738919501,0.9807729074728199,47.29401397705078,512,512
kodim19,0.1,edsr,edsr_x4,1.0,0.0,40.57800523303909,0.9803541669584709,43.26967120170593,512,512
kodim19,0.2,edsr,edsr_x4,1.0,0.0,40.32562345691808,0.9795220815143497,42.85447120666504,512,512
kodim19,0.3,edsr,edsr_x4,1.0,0.0,40.06741458864242,0.9786858675363971,43.33636665344238,512,512
kodim20,0.05,edsr,edsr_x4,0.994140625,0.0029296875,41.05398041609244,0.9766162428212213,41.35323429107666,512,512
kodim20,0.1,edsr,edsr_x4,0.994140625,0.0029296875,40.95086365025266,0.9762863649238667,42.533363342285156,512,512
kodim20,0.2,edsr,edsr_x4,0.99609375,0.001953125,40.74084440193929,0.975533214271318,44.95211911201477,512,512
kodim20,0.3,edsr,edsr_x4,0.99609375,0.001953125,40.53184959360116,0.9748115012660193,46.93870186805725,512,512
kodim21,0.05,edsr,edsr_x4,0.998046875,0.0009765625,39.7574677632557,0.9775501228583788,45.06084609031677,512,512
kodim21,0.1,edsr,edsr_x4,0.998046875,0.0009765625,39.635007928168775,0.9771609209671125,43.88736605644226,512,512
kodim21,0.2,edsr,edsr_x4,0.998046875,0.0009765625,39.356926299241465,0.9763433385080597,44.222251176834106,512,512
kodim21,0.3,edsr,edsr_x4,0.998046875,0.0009765625,39.08071258383046,0.9754363904519602,44.57124209403992,512,512
